cgl-id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cgl0001	1023.951464	-0.295440408	0.187528228	-1.575444997	0.115153765	0.199282499
Cgl0003	1708.253698	0.408403377	0.293107999	1.393354594	0.163512589	0.242308979
Cgl0004	1042.256584	-0.360211255	0.205964386	-1.748900682	0.080308189	0.169045889
Cgl0005	348.065193	-0.878093082	0.517007163	-1.698415699	0.089429331	0.176192558
Cgl0006	6319.65762	0.908274172	0.390931646	2.323358014	0.020159928	0.085993912
Cgl0007	409.1273277	-0.638146101	0.538561714	-1.184908034	0.23605381	0.315589058
Cgl0008	128.6489018	0.129845878	0.318949944	0.407104251	0.683931422	0.741112983
Cgl0009	1053.788914	0.607221292	0.285343146	2.128038823	0.033333865	0.115174518
Cgl0010	1413.268815	-0.33030977	0.231296403	-1.428080013	0.15326883	0.232805469
Cgl0011	220.7001525	-0.918317748	0.541413793	-1.696147677	0.089857917	0.176387762
Cgl0012	219.1912921	-1.067917978	0.603472656	-1.769621155	0.076790272	0.166093801
Cgl0013	13320.93683	0.961554889	0.36223142	2.654531981	0.007941851	0.045069625
Cgl0014	840.5247683	2.04825745	0.458450379	4.467784398	7.90E-06	0.000586432
Cgl0015	305.9071289	-0.709600655	0.283439605	-2.503533885	0.012295991	0.061129816
Cgl0016	282.2887808	-0.869336905	0.602390392	-1.443145369	0.148979525	0.228985619
Cgl0017	276.0518004	-0.619042548	0.735514591	-0.841645503	0.399986411	0.474105299
Cgl0018	300.3021453	-0.957867812	0.422397049	-2.267695321	0.023347783	0.094024723
Cgl0019	506.4405777	-0.974037128	0.545921735	-1.784206537	0.074390111	0.165212659
Cgl0020	178.8191678	-0.870784245	0.367581819	-2.368953519	0.017838495	0.079258463
Cgl0021	867.5889755	-0.782926463	0.668911828	-1.170447926	0.241820758	0.321560937
Cgl2359	70.59190337	-0.314558673	0.61952516	-0.507741562	0.611634597	0.675597873
ssbl0001	30.13334363	-1.205230383	0.567114328	-2.125198261	0.033570073	NA
Cgl0022	94.01761279	-0.821582126	0.686749402	-1.196334681	0.23156598	0.310708784
Cgl0023	311.8066687	-1.035066796	0.516170362	-2.005281341	0.044932978	0.134844368
Cgl0024	394.6570887	-1.042392847	0.579696306	-1.798170588	0.072149979	0.162844971
Cgl0025	347.5280782	0.123722515	0.262235292	0.471799635	0.637069811	0.698236041
Cgl0026	1408.290713	-1.834819268	0.651208878	-2.817558745	0.004839026	0.032421056
Cgl0027	408.9756792	-3.105711011	0.49785087	-6.238235582	4.43E-10	4.38E-07
Cgl0028	343.7782734	-1.446216899	0.704279829	-2.053469146	0.040027099	0.126165384
Cgl0029	712.2520503	-1.363552496	0.604072519	-2.257266228	0.023991444	0.095707805
Cgl0030	640.1551067	0.202875476	0.261693267	0.775241481	0.438196981	0.509826985
Cgl0031	1007.322924	-0.083006589	0.181192422	-0.458112918	0.646871319	0.707411229
Cgl0032	925.2407605	-0.034949883	0.204431992	-0.170960929	0.864254488	0.895325417
Cgl0033	2291.885844	1.307026315	0.43738168	2.988296894	0.002805369	0.021683164
Cgl0034	9308.036128	1.452848142	0.409610985	3.54689741	0.000389796	0.005765193
Cgl0035	125.3177288	-0.384680903	0.417144056	-0.922177597	0.356435947	0.433744112
Cgl0037	205.456215	-0.967554118	0.587230982	-1.647655091	0.099423468	0.185357321
Cgl0036	687.8086379	-0.891598984	0.656863792	-1.357357483	0.174667651	0.252638201
Cgl0038	595.9547408	-0.947914845	0.599278103	-1.581761189	0.113704098	0.19800634
Cgl0039	304.1403359	-1.108772796	0.475336418	-2.332606453	0.01966881	0.084604388
Cgl0040	346.5129693	0.861928248	0.368652793	2.338048878	0.019384713	0.083868553
Cgl0041	2670.642446	-0.263663572	0.195751034	-1.346933226	0.178001739	0.256709991
Cgl0042	1159.479855	-0.261284311	0.209202628	-1.248953293	0.211682158	0.291670608
Cgl0043	1282.789487	-0.037646788	0.219264641	-0.171695666	0.863676793	0.895039358
Cgl0044	1405.415405	-0.017227771	0.187014658	-0.092119896	0.926602781	0.945396031
Cgl0045	1378.944277	-0.053953807	0.199379566	-0.27060851	0.78669215	0.829672913
Cgl0046	653.0365129	-0.871440624	0.597230295	-1.459136669	0.144527495	0.224453586
Cgl0047	563.0549682	-0.15500625	0.208677617	-0.742802474	0.457601277	0.528878735
Cgl0048	227.7991094	-0.437255691	0.396821461	-1.10189527	0.270507205	0.351485968
ssbl0002	69.98987757	0.737529881	0.349009968	2.113205776	0.034583159	0.117234277
Cgl0049	192.1300676	0.885450315	0.401322088	2.206333373	0.027360666	0.102172255
Cgl0051	1666.475614	-0.286552653	0.223958435	-1.279490334	0.200724441	0.280642923
Cgl0050	568.0730405	-0.891404641	0.488186651	-1.825950461	0.067857724	0.15921085
Cgl0052	648.3231994	-0.876984953	0.605924472	-1.44735028	0.147798844	0.227878944
Cgl0053	1200.231902	-0.859464138	0.770233847	-1.115848312	0.26448707	0.345340215
Cgl0054	20.49140378	-0.611479481	0.532652917	-1.147988607	0.250973267	NA
Cgl0055	197.2189871	-1.051017246	0.735930449	-1.428147519	0.153249402	0.232805469
Cgl0056	284.8257115	-0.215297867	0.327463473	-0.657471397	0.510877856	0.579619831
Cgl0057	325.39789	-0.708757794	0.807639658	-0.877566855	0.380178823	0.456645385
Cgl0058	299.3441897	-0.93302788	0.543614618	-1.716340674	0.086099708	0.172502582
Cgl0059	230.01068	-1.210320877	0.436090665	-2.775388181	0.005513586	0.035574613
Cgl0060	806.474677	-1.028518128	0.665195976	-1.546188137	0.122059138	0.205024804
Cgl0061	1572.096358	0.338885503	0.266116188	1.273449415	0.202858612	0.282668714
Cgl0062	247.0432903	0.840077033	0.36173137	2.322378156	0.020212582	0.085993912
Cgl0063	1532.098335	-1.02334782	0.666121973	-1.53627693	0.124470475	0.206962672
