Uniprot_ID	Gene_Name_Stringdb	3F1	3F1	3F3	3N1	3N2	3N3	1F1	1F2	1F3	1N1	1N2	1N3
Q8NTF5	murA	2892.341795	5829.441125	6138.919991	8531.071066	10021.32072	10706.82561	9215.683257	6330.715594	4449.875695	820.5885497	281.3135653	606.0766997
O68602	hisA	6768.929911	8862.378841	6619.856352	8880.767742	7876.024794	9420.030981	10100.23726	6255.277566	7305.299495	7141.430564	6966.587689	6867.686306
O69043	hisH	2423.940171	4582.513562	4951.930123	5565.98887	4775.42222	6486.205752	5130.269972	2964.317617	3374.507392	2590.689583	2334.670456	3870.092058
O69282	mqo	10906.48839	11391.63325	12487.20631	16322.68781	13143.52325	14592.1149	29663.81511	18075.99466	18024.95674	13891.06269	10432.11989	16650.35782
O85175	argR	4306.061293	5431.905741	5558.707347	4904.872118	5380.533816	5416.910748	7174.336021	5377.522434	6432.776591	4082.979488	4667.923064	4657.12309
O85176	argG	9861.575509	15443.27589	11500.94753	11078.96435	12147.03367	15760.30895	16366.07115	10001.49739	12367.95652	12413.57131	7133.145902	14141.77949
O87330	apt	1211.894887	1328.666573	1278.88404	601.7062064	684.3265068	696.5030575	1553.419443	884.6358436	873.986389	543.6651575	263.2394745	1083.535341
O87331	rel	1467.904283	1612.019256	1643.642333	1965.969351	1700.819706	2400.407852	1643.380683	567.9558719	1131.247875	500.9265234	583.4766964	972.9194989
O88101	argH	5035.548241	6348.301365	5368.493938	5232.640157	4826.478682	5381.573693	8941.813622	6162.682081	6083.726747	5150.208941	5772.020345	5674.029276
P04964	ddh	8124.648702	10251.40034	9784.419961	13383.96892	12797.09398	15505.29867	7075.642366	5377.071368	7611.813237	9478.234598	5838.78344	7700.82588
P06557	trpE	1070.911008	1571.681981	1508.630655	1855.581461	1780.18012	2143.872006	3661.727445	3786.254924	3972.830935	2185.673084	2575.568704	2941.925016
P06559	trpD	1096.341519	1064.011264	764.5794198	1563.238585	1688.914338	1021.829169	2683.483132	1796.656748	2341.7738	1619.907713	1581.192334	2202.12352
P06560	trpCF	3807.989147	2754.504878	2017.299159	5259.386597	4644.19245	4768.098037	4798.619333	6163.464876	5790.532096	5294.330469	5904.961515	5757.793961
P06561	trpB	3711.022995	5131.516392	4176.26826	5218.940356	5286.043721	6134.082758	7619.676883	4723.609603	6066.125838	4692.430208	4059.185789	7079.598795
P07128	thrB	14759.48802	16174.76479	14290.83163	12155.47742	14041.1121	13170.38874	12333.43348	7452.172308	7972.774739	3632.626889	5756.537155	7315.081586
P08499	hom	7725.948286	12312.40969	9375.694409	11352.77901	12322.67427	14527.977	10363.83985	5728.940103	6773.759576	7680.438369	8884.420956	8793.178439
P09890	lysA	1714.861276	2136.091959	2143.712497	2682.471047	2113.831536	2865.439648	3377.312577	1498.429224	2241.802199	1936.059415	1324.210804	2156.423076
P0C1D8	asd	6360.439479	8227.414373	10146.74076	8671.899612	8053.47856	12265.87012	11836.02907	6424.849092	7372.319241	4976.217691	4461.405265	5334.504667
P0C1E0	proA	11846.19457	15107.4843	13812.65692	15426.20166	16738.58517	17483.28138	23222.0212	18348.42328	17890.33197	11192.23986	15701.91434	15752.72836
P0C1E2	proB	4373.895902	6415.264357	5320.404019	4551.945038	4885.042043	5532.036154	6155.978041	3596.972481	4317.159994	2821.666416	2069.030932	3310.892285
P0C1E4	proC	18439.96015	24846.83055	23540.25189	22621.16046	24282.76028	24260.63662	23797.83498	17910.43155	19186.22125	14593.76562	9256.235122	16393.12745
P0C1E6	obgE	996.128909	1643.374774	1432.818545	1423.601033	1547.632765	1834.332927	2208.036029	1692.811824	2169.102748	1593.505962	1793.342476	1581.629873
P0C544	rplO	9593.615097	14641.47926	15777.7155	12039.32676	13065.21219	13966.88322	26235.89689	14607.033	19229.74337	14020.762	13781.24135	22036.3163
P10341	pheA	6115.62508	6655.521538	6442.010198	5721.778874	5758.546519	6890.242056	8905.360181	4095.481051	6620.272969	4343.223082	6060.293903	5149.102225
P12880	ppc	6528.438086	8386.530823	7206.28403	10770.23822	10031.1315	10041.84506	9181.341148	7093.657794	7297.990107	6773.049102	6418.014236	6985.127578
P19537	fda	74357.28735	87231.65914	82992.58572	97467.85199	101416.6181	97684.64725	85574.33861	71641.97489	64949.44914	65786.08791	49384.80463	66115.28469
P19583	tpiA	14763.02309	19360.01951	18010.46771	28739.87361	28141.15337	28607.83008	20175.98342	22380.78861	22425.7404	14788.8526	13873.16551	17029.05771
P19808	dapA	15319.95615	19037.28744	17380.78676	16743.58442	17487.01447	16085.61459	19833.90914	16157.04816	18195.99249	13822.3302	14487.71101	14679.64487
P23669	thrC	12126.01731	14068.82988	14330.10772	14089.68573	14261.39191	15170.46493	14706.13537	9753.59177	11676.00038	9323.06657	8707.057921	9914.075291
P26512	lysC	7341.893005	9684.204227	8512.301348	8080.287088	8880.35748	9644.845793	10268.72057	6390.209635	7415.546691	5755.546599	5302.734422	6360.325627
P31026	gdh	28724.03014	40935.61964	40899.13306	38895.40738	42080.60569	42110.63418	47209.63414	31680.28498	34322.69449	33715.57479	28503.44181	32899.30473
P35170	aroF	676.8608812	1147.320807	959.4094131	456.6479908	672.5918265	496.1221191	4232.94666	2498.260057	3418.137671	1207.643763	1291.157603	1339.439991
