cgl-id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cgl0001	360.215558	0.273808639	0.129626852	2.11228334	0.034662154	0.077145239
Cgl0003	959.0583599	0.364201778	0.08955901	4.066612376	4.77E-05	0.000213479
Cgl0004	243.7717277	0.827063233	0.143948059	5.745567101	9.16E-09	7.14E-08
Cgl0005	12.77285148	0.652219473	0.555346372	1.174437262	0.240219927	0.363906062
Cgl0006	4777.327322	-0.119740376	0.075594604	-1.583980465	0.113198165	0.206202687
Cgl0007	22.36024562	0.904311325	0.413325098	2.187893571	0.028677356	0.065587012
Cgl0008	63.19512778	-0.276223129	0.258699882	-1.067735812	0.285639699	0.414177564
Cgl0009	933.690388	-0.139932845	0.091472763	-1.529776081	0.126072164	0.225406459
Cgl0010	277.2727071	0.653375242	0.151451088	4.314100675	1.60E-05	7.77E-05
Cgl0011	12.10826289	-0.286341855	0.539348321	-0.530903396	0.595485724	0.709837698
Cgl0012	1.480182111	0.262675966	3.859628689	0.068057315	0.945740009	NA
Cgl0013	9178.748836	-0.336176207	0.080733627	-4.164017129	3.13E-05	0.00014394
Cgl0014	660.7571929	0.303225947	0.098662503	3.073365655	0.00211659	0.006621478
Cgl0015	127.8772229	-2.229299712	0.191179002	-11.66079795	2.02E-31	8.88E-30
Cgl0016	10.2153343	-1.086114116	0.626581447	-1.733396548	0.083025211	0.159769815
Cgl0017	5.614811367	-0.549257097	0.788671914	-0.696432936	0.486157743	0.614584767
Cgl0018	65.75004707	0.564329453	0.247747842	2.277838018	0.02273623	0.053736812
Cgl0019	43.96134226	0.365161021	0.289762041	1.260209998	0.207593617	0.326475862
Cgl0020	12.09654961	0.329445927	0.555926524	0.592606959	0.553444221	0.67379859
Cgl0021	51.15859152	0.086954122	0.267265013	0.325347944	0.744917749	0.830231158
Cgl2359	0.513006933	-1.69773664	2.588677756	-0.655831587	0.511932491	NA
ssbl0001	0.621520444	2.294777918	2.508624098	0.914755591	0.360319953	NA
Cgl0022	7.091939392	0.218912192	0.70282084	0.311476524	0.755438387	0.838091554
Cgl0023	3.335493157	1.352407342	1.180272054	1.145843737	0.251859814	0.375910171
Cgl0024	3.974056054	0.664130305	0.997026882	0.66611073	0.505340326	0.630859641
Cgl0025	223.3717414	-0.571366322	0.143223869	-3.989323324	6.63E-05	0.000286806
Cgl0026	23.99891887	-0.490701554	0.403898224	-1.214913869	0.224398943	0.345779456
Cgl0027	2.750437066	1.126605518	1.193614531	0.943860424	0.345240978	0.479731115
Cgl0028	2.405469759	-0.246572184	1.312289308	-0.187894683	0.850959211	NA
Cgl0029	11.04810213	0.398031158	0.596053534	0.667777533	0.50427561	0.629815448
Cgl0030	215.4694708	0.297610954	0.165446161	1.798838682	0.072044203	0.142031399
Cgl0031	397.7545032	0.443463495	0.131751817	3.36590041	0.000762942	0.00264974
Cgl0032	545.0763782	0.207967667	0.114413696	1.817681573	0.069112816	0.137561541
Cgl0033	722.2742975	0.263795619	0.141085629	1.869755414	0.061517791	0.1251941
Cgl0034	9214.221055	-0.24949617	0.083223284	-2.997913061	0.002718352	0.008324415
Cgl0035	20.73244347	1.530837543	0.45173362	3.388805869	0.000701977	0.00247055
Cgl0037	1.223466929	-0.212252896	1.611763755	-0.13168983	0.89522963	NA
Cgl0036	6.937974691	0.588788923	0.798395879	0.737464883	0.460839691	0.589517029
Cgl0038	17.39788211	0.253024442	0.459337201	0.550846832	0.581738677	0.69943705
Cgl0039	6.904393803	0.878102387	0.744614186	1.179271633	0.23829003	0.361717273
Cgl0040	219.1890592	-0.537621722	0.151235148	-3.554872847	0.000378162	0.001407791
Cgl0041	884.7774559	-0.450583245	0.100777376	-4.471075381	7.78E-06	4.01E-05
Cgl0042	377.872659	-0.511025815	0.124116081	-4.117321537	3.83E-05	0.000173683
Cgl0043	799.2608372	-0.328561366	0.118074687	-2.782657095	0.005391576	0.015284037
Cgl0044	851.5467147	-0.142458035	0.108147621	-1.31725538	0.187753036	0.301653078
Cgl0045	563.2321612	0.350290247	0.10502982	3.335150419	0.000852533	0.002918943
