cgl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cgl0001	650.943147	0.406124317	0.129598896	3.133701981	0.001726161	0.0020842
Cgl0003	1201.03181	_0.579852916847101	0.109163348	_5.31179125317029	1.08552906802931E_07	1.55068262809095E_07
Cgl0004	535.3888427	1.35234426	0.133753524	10.11071875	4.95196329328699E_24	1.1330002183507E_23
Cgl0005	156.7464696	4.095276131	0.336699642	12.16299519	4.89311267588955E_34	1.49158631116996E_33
Cgl0006	5709.047353	_1.56644992106969	0.113660322	_13.7818535709901	3.27747621035615E_43	1.26703965373539E_42
Cgl0007	177.2809417	3.62658211	0.290478004	12.48487684	9.02829359723087E_36	2.89498355072223E_35
Cgl0008	99.38900713	_0.559988818328246	0.248925321	_2.249625777539	0.024472711	0.028102768
Cgl0009	1113.57216	_1.61717014021686	0.103773383	_15.5836699145035	9.39995584810267E_55	4.87220314250116E_54
Cgl0010	701.7342939	1.488956664	0.135928304	10.95398545	6.35868804447337E_28	1.63671332573307E_27
Cgl0011	106.5523678	3.061972408	0.309676095	9.887661532	4.70899051365661E_23	1.05351916369834E_22
Cgl0012	98.84922679	6.425944746	0.850313968	7.557143578	4.12017090433121E_14	7.31481368176573E_14
Cgl0013	11751.88151	_1.56741415114421	0.120689435	_12.9871695421249	1.44679456680093E_38	4.90969411850494E_38
Cgl0014	614.865247	_2.2427462856352	0.118253873	_18.9655207368497	3.28755439549984E_80	3.18955998563398E_79
Cgl0015	306.0801495	_0.534469764461464	0.139070305	_3.84316238799715	0.000121459	0.000154348
Cgl0016	132.0958291	3.312725857	0.311149503	10.64673355	1.80591037463377E_26	4.43708661040293E_26
Cgl0017	115.8352704	4.273421351	0.423719873	10.08548718	6.40466776716171E_24	1.46095925630735E_23
Cgl0018	176.2678869	1.518793954	0.193314591	7.856592427	3.94724623444044E_15	7.24579402768417E_15
Cgl0019	253.4930216	2.745715777	0.199908288	13.73487715	6.27624374683895E_43	2.40483415464323E_42
Cgl0020	85.37801055	3.06561387	0.347699265	8.816854617	1.17719933647829E_18	2.37558826101318E_18
Cgl0021	403.0779782	3.088387425	0.186888565	16.52528836	2.41283130427032E_61	1.46659444940286E_60
Cgl2359	26.6573873	5.101392673	1.068689767	4.773501935	1.81049809284579E_06	2.47644723318762E_06
ssbl0001	14.04216554	6.068294588	1.241950393	4.886100623	1.02852647205155E_06	1.42227027450893E_06
Cgl0022	45.34889241	2.803673473	0.439058554	6.385648213	1.70672946754926E_10	2.69638314106034E_10
Cgl0023	139.5488718	6.507438825	0.737954078	8.818216498	1.16297226958125E_18	2.34844366912772E_18
Cgl0024	177.4213778	6.043015277	0.563414545	10.7256998	7.71012229828467E_27	1.91613630516484E_26
Cgl0025	337.718445	_1.06822035422419	0.144697249	_7.38245101716525	1.55401714291461E_13	2.72380422212075E_13
Cgl0026	745.8042236	4.919345278	0.23009798	21.37935008	2.08005978938315E_101	3.34911754386318E_100
Cgl0027	242.1626465	7.311395779	0.747133359	9.785931374	1.29398384754841E_22	2.85695777281475E_22
Cgl0028	167.5375159	6.18756058	0.606603477	10.20033813	1.97583408915739E_24	4.57601360970116E_24
Cgl0029	345.1683336	5.401554177	0.340177662	15.87862691	8.91077352995089E_57	4.83385510307551E_56
Cgl0030	360.4130411	0.233827258	0.151950702	1.538836309	0.123844263	0.135726497
Cgl0031	628.5417421	0.235205715	0.125204026	1.878579482	0.060301935	0.067505162
Cgl0032	740.4385412	_0.497731992561014	0.12551234	_3.96560206155443	7.32E-05	9.40E-05
Cgl0033	995.2376282	_0.380264963434688	0.146616049	_2.59361077068656	0.009497394	0.011117019
Cgl0034	10221.0409	_2.39450511080484	0.138284316	_17.315811175702	3.57449438669483E_67	2.51627779268029E_66
Cgl0035	56.10813065	2.365148486	0.371168368	6.37217147	1.86370344550808E_10	2.93518747635429E_10
Cgl0037	90.73062272	6.30239556	0.854464995	7.375838215	1.63314239953172E_13	2.85917989784992E_13
Cgl0036	298.5129781	6.012074844	0.437676607	13.73634035	6.15071468091073E_43	2.36271742882193E_42
Cgl0038	271.3994341	4.243858915	0.274552806	15.45735039	6.73108328199888E_54	3.42436791506061E_53
Cgl0039	140.9508051	5.037686476	0.465273207	10.82737282	2.55377398937019E_27	6.47969309792421E_27
Cgl0040	303.4193723	_1.46865288971667	0.139489798	_10.5287476773554	6.36759560361062E_26	1.5444480682796E_25
Cgl0041	1833.386834	0.125926878	0.111350376	1.130906619	0.258094397	0.27616118
Cgl0042	795.6905339	0.125929255	0.108811614	1.15731447	0.247143904	0.26490956
Cgl0043	1189.089087	_0.841231479759878	0.133676638	_6.29303290603521	3.11322309775089E_10	4.8475958420226E_10
Cgl0044	1230.906054	_0.726556856898539	0.120597572	_6.02463918562324	1.69487296441605E_09	2.57290895851925E_09
Cgl0045	886.1692512	0.116538088	0.108262927	1.076435779	0.281732408	0.300600634
Cgl0046	285.2634547	5.128231757	0.339568645	15.1021946	1.56632170789001E_51	7.52580287267151E_51
Cgl0047	270.0463919	1.379408851	0.160246651	8.608035426	7.43232915353111E_18	1.47235997040174E_17
Cgl0048	120.7180972	1.329975053	0.232962151	5.708974818	1.13658704279405E_08	1.67012086336776E_08
ssbl0002	102.0941079	_2.31932937850361	0.212465555	_10.9162606768809	9.6382698222387E_28	2.47036771819784E_27
Cgl0049	346.6998595	_2.77833498707401	0.141298378	_19.6628937461904	4.48405680291782E_86	5.00857562451374E_85
Cgl0051	909.051174	0.96606941	0.122251447	7.902314744	2.73771053175429E_15	5.04999986570398E_15
Cgl0050	276.6601111	2.82009465	0.2048045	13.76969083	3.8786947336449E_43	1.49374159780447E_42
Cgl0052	277.7389161	7.188471969	0.657796936	10.92810194	8.45994343994195E_28	2.17387510973721E_27
Cgl0053	511.7477984	7.135973606	1.002027674	7.121533457	1.06732817966886E_12	1.82944643253546E_12
Cgl0054	10.64780601	1.858876332	0.740963141	2.508729827	0.012116612	0.014139161
Cgl0055	89.57584763	5.530432571	0.679433695	8.139767884	3.96036415145003E_16	7.49719967882378E_16
Cgl0056	137.0480284	1.481537978	0.244746743	6.053351156	1.41863152364629E_09	2.16223445220409E_09
Cgl0057	134.302731	6.456427106	0.749849926	8.610292378	7.28744715026365E_18	1.44460396357879E_17
Cgl0058	133.3580252	4.958211969	0.462111651	10.72946756	7.40214417836011E_27	1.84110849859458E_26
Cgl0059	107.4301223	6.126880795	0.747336921	8.198284636	2.43841438491709E_16	4.65096429939762E_16
Cgl0060	361.2055476	5.972154111	0.396089184	15.07780156	2.26692345047483E_51	1.08233080198538E_50
Cgl0061	1407.273854	_1.06516879106296	0.111752472	_9.53150092229322	1.55025416890835E_21	3.34708942174436E_21
Cgl0062	128.7340032	_0.298750529998593	0.221430325	_1.34918525568135	0.177277469	0.192061167
Cgl0063	711.6262788	4.182698587	0.181102486	23.09575472	5.10791760632486E_118	1.26734972084798E_116
Cgl0064	284.0934107	3.779472371	0.238737973	15.83104828	1.90028699718537E_56	1.02169959866432E_55
Cgl0065	543.4204381	3.692281501	0.196249316	18.81423885	5.7731618280124E_79	5.26366290764866E_78
Cgl0066	126.8396077	0.6747782	0.207066247	3.258755147	0.001119022	0.001365839
Cgl0067	749.5021158	5.239820444	0.231782992	22.60657868	3.73383644606834E_113	8.07308780160634E_112
Cgl0068	475.9459923	2.446584538	0.156390544	15.6440695	3.64660479384247E_55	1.9064374284907E_54
Cgl0069	433.1865077	0.363947439	0.14580045	2.496202433	0.012553094	0.014637217
Cgl0070	319.1403575	0.038095021	0.142444227	0.267438156	0.789131824	0.802116196
Cgl0071	185.5610682	_0.683332036860438	0.179726379	_3.8020686881294	0.000143493	0.00018189
Cgl0072	410.5081578	0.797987217	0.138480616	5.762447043	8.29030597031428E_09	1.22175054392119E_08
Cgl0073	161.8143136	3.83553085	0.312469263	12.27490605	1.23535126810679E_34	3.8157227434278E_34
ssbl0003	177.2716354	7.86491873	1.030260081	7.633915818	2.27728644609258E_14	4.06927158932835E_14
ssbl0004	42.95625742	7.681500137	1.201511142	6.393199252	1.62450347178296E_10	2.56781828150759E_10
Cgl0075	259.6836587	3.63968555	0.247522253	14.7044781	6.0334286295624E_49	2.6976644699683E_48
Cgl0076	232.5647611	1.148893923	0.168871259	6.803371568	1.02198602461514E_11	1.68769868876706E_11
Cgl0077	58.97360373	0.611448195	0.296482903	2.062338803	0.039175491	0.044330547
Cgl0078	85.17008481	_2.57813695914139	0.233402688	_11.0458751612126	2.29520163809643E_28	5.98413036909379E_28
Cgl0078	5921.02343	_2.433064963217	0.141137357	_17.2389862589952	1.35390176238285E_66	9.33544563720473E_66
Cgl0079	636.8642019	3.302580052	0.166167057	19.87505889	6.69079394761214E_88	7.9113411247742E_87
Cgl0080	956.4465573	_0.28050577074221	0.126157643	_2.22345442727866	0.026185173	0.030012313
Cgl0081	327.5162142	5.826259643	0.39189385	14.86693307	5.40324702777879E_50	2.49704255772311E_49
Cgl0082	282.2616302	0.463463867	0.161951708	2.861741143	0.004213209	0.005007217
Cgl0083	61.93440404	1.025681487	0.280225824	3.660196169	0.000252022	0.000316544
Cgl0084	68.0035839	1.136272163	0.273886871	4.148691614	3.34E-05	4.37E-05
Cgl0085	200.9792118	2.065366549	0.206655266	9.994260429	1.61488149847944E_23	3.6506693770704E_23
Cgl0086	465.0625688	_0.230906578002015	0.126123502	_1.83079739037542	0.06713079	0.074762657
Cgl0087	76.09943791	2.349353466	0.361748164	6.494444754	8.33402053563867E_11	1.32984080977218E_10
Cgl0088	144.2524796	2.258014154	0.23324715	9.6807792	3.63931572939943E_22	7.93674979314991E_22
Cgl0089	74.23765225	0.861737322	0.274662329	3.137442716	0.001704286	0.002058609
Cgl0090	286.961037	2.965856712	0.206531337	14.36032304	9.17982606249383E_47	3.89178340212449E_46
Cgl0091	527.718656	_0.656364726400551	0.122270789	_5.36812374061502	7.95599629992726E_08	1.14244785578177E_07
Cgl0092	676.2085382	2.632350249	0.137719274	19.11388421	1.93514598925769E_81	1.95256230316101E_80
Cgl0093	1845.864066	_0.100712454398468	0.102154892	_0.985879893644518	0.324192054	0.344326087
Cgl0094	732.6926526	1.285613093	0.119006827	10.80285158	3.33676679895691E_27	8.42401426225402E_27
Cgl0095	1066.33766	0.121326413	0.119201339	1.017827603	0.308759892	0.328627353
ssbl0005	166.3854867	3.932831689	0.316139685	12.44017082	1.58165307096593E_35	5.03434684102404E_35
Cgl0096	293.2718559	8.5925465	1.028022935	8.358321794	6.36167222676283E_17	1.23125203519252E_16
Cgl0097	299.9154539	1.992620413	0.179936899	11.07399551	1.67750727953199E_28	4.38877660772976E_28
ssbl0006	59.12866564	8.14233634	1.195940239	6.808313721	9.87493420787425E_12	1.6325191615093E_11
Cgl0098	75.74564347	0.131274632	0.249077135	0.527044091	0.59816297	0.616912883
Cgl0099	3773.513367	_0.122482179067796	0.094046841	_1.30235292840313	0.192795766	0.208351583
Cgl0100	337.3355722	3.242386402	0.199810388	16.2273165	3.23287061583258E_59	1.84988645635637E_58
Cgl0101	384.0143988	0.446085363	0.147877424	3.016588674	0.002556364	0.003065814
