cgl-id	Chr	Start	End	Strand	Length	AF1	AF2	AF3	AN1	AN2	AN3	CF1	CF2	CF3	CN1	CN2	CN3	cgl-id
bglH	WT-3281083	3001382	3001744	-	363	26	146	157	312	395	356	5	7	6	1	1	3	bglH
Cgl0001	WT-3281083	1	1575	+	1575	356	846	862	1515	1810	1792	791	479	390	227	251	257	Cgl0001
Cgl0003	WT-3281083	2292	3476	+	1185	1027	1276	1760	2232	2234	2153	2062	1348	1099	675	660	566	Cgl0003
Cgl0004	WT-3281083	3585	4769	+	1185	345	883	828	1737	1801	1756	586	363	345	138	146	114	Cgl0004
Cgl0005	WT-3281083	4766	5302	+	537	36	345	235	605	698	745	27	24	14	13	7	3	Cgl0005
Cgl0006	WT-3281083	5435	7489	+	2055	5138	4762	6292	6956	5941	6890	8477	5589	4916	3874	3882	3499	Cgl0006
Cgl0007	WT-3281083	7884	8798	+	915	42	421	351	596	809	866	56	32	33	10	12	13	Cgl0007
Cgl0008	WT-3281083	8795	9376	-	582	60	103	131	147	164	247	103	67	66	74	38	46	Cgl0008
Cgl0009	WT-3281083	9471	9914	-	444	681	894	1060	1203	1256	1313	1734	1068	919	844	689	689	Cgl0009
Cgl0010	WT-3281083	10104	11171	-	1068	449	1298	1098	2247	2364	2513	569	436	377	153	149	182	Cgl0010
Cgl0011	WT-3281083	11260	11523	-	264	19	205	164	419	439	451	25	13	9	9	8	13	Cgl0011
Cgl0012	WT-3281083	11520	11768	-	249	13	187	166	443	468	433	0	0	5	0	3	0	Cgl0012
Cgl0013	WT-3281083	11831	14401	+	2571	10508	11375	13184	14541	12094	14050	14701	10318	8538	7661	8125	7348	Cgl0013
Cgl0014	WT-3281083	14405	14749	+	345	929	654	974	496	501	478	1377	949	721	480	439	421	Cgl0014
Cgl0015	WT-3281083	15206	16243	-	1038	70	244	228	494	618	616	88	62	39	178	157	144	Cgl0015
Cgl0016	WT-3281083	16314	17210	+	897	19	236	264	439	579	646	17	8	4	16	4	12	Cgl0016
Cgl0017	WT-3281083	17260	17673	+	414	11	297	268	355	540	635	12	4	4	3	6	6	Cgl0017
Cgl0018	WT-3281083	17857	18729	-	873	39	213	254	588	625	583	161	104	68	37	42	41	Cgl0018
Cgl0019	WT-3281083	18733	19479	-	747	42	445	386	900	1072	1075	86	60	57	34	27	26	Cgl0019
Cgl0020	WT-3281083	19705	20076	+	372	31	148	123	368	348	330	25	11	19	8	6	10	Cgl0020
Cgl0021	WT-3281083	20073	21068	+	996	46	892	732	1377	1878	1734	91	65	60	39	39	34	Cgl0021
