cgl-id	Chr	Start	End	Strand	Length	3F1	3F2	3F3	3N1	3N2	3N3	1F1	1F2	1F3	1N1	1N2	1N3
bglH	WT-3281083	3001382	3001744	-	363	18.33011459	92.85300871	81.6336294	144.7727327	195.2518311	161.9785957	1.914088284	4.081678361	4.299451029	0.817357268	0.830832913	2.824230158
Cgl0001	WT-3281083	1	1575	+	1575	57.8452759	124.0051023	103.3005861	162.0208394	206.2066475	187.9194375	69.79021093	64.37278806	64.40987112	42.7625754	48.06328836	55.76195888
Cgl0003	WT-3281083	2292	3476	+	1185	221.7943865	248.5890954	280.3305284	317.2595056	338.2746577	300.0819933	241.8070151	240.779166	241.2391132	169.0067212	167.9754846	163.2238199
Cgl0004	WT-3281083	3585	4769	+	1185	74.50736451	172.0252126	131.8827713	246.8995346	272.7093368	244.7487136	68.71916143	64.83890005	75.73020388	34.55248523	37.15821325	32.87546903
Cgl0005	WT-3281083	4766	5302	+	537	17.1564201	148.3182386	82.59802341	189.7666505	233.2307354	229.1375386	6.986956896	9.459851524	6.781443243	7.182698228	3.93137138	1.909116476
Cgl0006	WT-3281083	5435	7489	+	2055	639.8537664	534.9673965	577.9003611	570.1466151	518.7431453	553.7600896	573.2300414	575.664764	622.2550492	559.327721	569.7233538	581.8587544
Cgl0007	WT-3281083	7884	8798	+	915	11.74699147	106.2210895	72.40392344	109.714485	158.6470761	156.3187431	8.504827678	7.40246305	9.381261179	3.242630474	3.955309472	4.8552066
Cgl0008	WT-3281083	8795	9376	-	582	26.38315462	40.85676626	42.4839011	42.54349386	50.56214715	70.09519127	24.59307451	24.36683834	29.49778	37.72482979	19.69159656	27.00973378
Cgl0009	WT-3281083	9471	9914	-	444	392.5207309	464.8408629	450.6080783	456.3745948	507.5879624	488.4228939	542.7061069	509.1381575	538.3948817	563.9986058	468.0115479	530.3000993
Cgl0010	WT-3281083	10104	11171	-	1068	107.5904057	280.5777252	194.047104	354.381158	397.174049	388.6292571	74.03542934	86.40972054	91.82025167	42.50487389	42.0760859	58.23520276
Cgl0011	WT-3281083	11260	11523	-	264	18.41824014	179.2667249	117.2508499	267.3307392	298.3769279	282.1544288	13.15935695	10.42285724	8.867617747	10.11479619	9.139162039	16.82770469
Cgl0012	WT-3281083	11520	11768	-	249	13.36110762	173.3772098	125.8301803	299.669941	337.2493729	287.2121485	0	0	5.223228659	0	3.633642738	0
Cgl0013	WT-3281083	11831	14401	+	2571	1045.963295	1021.407585	967.8792868	952.6447994	844.0584702	902.5858155	794.5905332	849.4558487	863.818409	884.1011176	953.1068929	976.6805242
Cgl0014	WT-3281083	14405	14749	+	345	689.1203515	437.6313277	532.8634594	242.1594294	260.5693176	228.8353204	554.6428653	582.2298689	543.6063872	412.8009577	383.7653346	417.0119087
Cgl0015	WT-3281083	15206	16243	-	1038	17.25834488	54.26780088	41.45849873	80.16197314	106.8306243	98.01614445	11.78104742	12.64275436	9.773174087	50.87930879	45.6165689	47.40788659
Cgl0016	WT-3281083	16314	17210	+	897	5.420752951	60.7392339	55.55044751	82.43485538	115.8219215	118.9472296	2.633631839	1.887751865	1.15994108	5.29231997	1.34489341	4.571663534
Cgl0017	WT-3281083	17260	17673	+	414	6.799716421	165.6173602	122.1829287	144.4331274	234.0442972	253.3305936	4.027907518	2.04506452	2.513205674	2.150004988	4.370903584	4.952635495
Cgl0018	WT-3281083	17857	18729	-	873	11.43270034	56.32680397	54.91557699	113.449317	128.4607397	110.2982362	25.62773461	25.2154347	20.26110141	12.57494326	14.50959746	16.0492621
Cgl0019	WT-3281083	18733	19479	-	747	14.38888513	137.5273767	97.53102332	202.9367546	257.5009457	237.6851883	15.99839573	17.00113878	19.84826891	13.504449	10.90092821	11.89428123
Cgl0020	WT-3281083	19705	20076	+	372	21.32638332	91.84775078	62.40771041	166.6263503	167.8575766	146.5160685	9.33889848	6.258886979	13.28553483	6.380659964	4.864392698	9.186340031
